_id,ltable_index,rtable_index,ltable_Length_ft,ltable_make_model,ltable_seller,ltable_location,ltable_year,ltable_price_US,ltable_hull_material,rtable_Length_ft,rtable_make_model,rtable_seller,rtable_location,rtable_year,rtable_price_US,rtable_hull_material,gold
50201,51,82,35,Sea Ray.SLX 350,MarineMax Ft. Myers,"Ft. Myers, Florida",2017,Request Price,Fiberglass,35,Sea Ray SLX 350,"MarineMax Inc.
   ","Ft. Myers, FL",2017,Call for Price,Fiberglass,0
52526,99,76,35,Sea Ray.350 SLX,Marine Tech Concepts,"Port Clinton, Ohio",2015,259995,Fiberglass,35,Sea Ray 350 SLX,"Strong's Marine
   ","Port Washington, NY",2015,239995,Fiberglass,0
73704,7518,3511,19,Glastron.GLS 195,Keenan Marina,"SPRING LAKE, Michigan",2009,24995,Fiberglass,19,Glastron GLS 195,"Keenan Marina
   ","SPRING LAKE, MI",2009,24995,Fiberglass,0
87083,7558,3530,19,Bayliner.190 Bowrider,Pennybridge Marine,"Stony Point, New York",2014,Request Price,Fiberglass,19,Bayliner 190 Bowrider,"Pennybridge Marine
   ","Stony Point, NY",2014,Call for Price,Fiberglass,0
93106,7576,3541,19,Bayliner.195 Bowrider,Dredge Harbor Boat Center LLC.,"Delran, New Jersey",2012,22900,Fiberglass,19,Bayliner 195 Bowrider,"Dredge Harbor Boat Center LLC.
   ","Delran, NJ",2012,22900,Fiberglass,0
124506,7670,3545,19,Chaparral.19 H2O Sport,"Twin City Marine, Inc.","Central Falls, Rhode Island",2017,36180,Fiberglass,19,Chaparral 19 H2O Sport,"Twin City Marine, Inc.
   ","Central Falls, RI",2017,36180,Fiberglass,0
125848,7674,3551,19,Chaparral.19 H2O Ski & Fish,A & S Boats,United States,2017,31805,Fiberglass,19,Chaparral 19 H2O Ski & Fish,"A & S Boats
   ",United States,2017,34415,Fiberglass,0
137884,7710,3563,19,Chaparral.19 Sport H2O,Dare Marina & Yacht Sales,"Yorktown, Virginia",2012,24500,Fiberglass,19,Chaparral 19 Sport H2O,"Dare Marina & Yacht Sales
   ","Yorktown, VA",2012,24500,Fiberglass,0
154590,7760,3569,19,Four Winns.190 Horizon,Boats of Dallas,"Dallas, Texas",2005,12999,Fiberglass,19,Four Winns 190 Horizon,"Boats of Dallas
   ","Dallas, TX",2005,12999,Fiberglass,0
188025,7860,3604,19,Grady-White.192 Tournament,"Berry-Boger Yacht Sales, Inc.","North Myrtle Beach, South Carolina",1998,12900,Fiberglass,19,Grady White 192 Tournament,"Berry-Boger Yacht Sales, Inc.
   ","North Myrtle Beach, SC",1998,12900,Fiberglass,0
200066,7896,3621,19,Mastercraft.ProStar 190,Ludington Yacht Sales,"Manistee, Michigan",1986,10900,Fiberglass,19,Mastercraft ProStar 190,"Ludington Yacht Sales
   ","Manistee, MI",1986,10900,Fiberglass,0
213439,7936,3634,19,Nautic Star.193 SC,COMPLETE MARINE,"Pompano Beach, Florida",2017,Request Price,Fiberglass,19,NAUTIC STAR 193 SC,"COMPLETE MARINE
   ","Pompano Beach, FL",2017,Call for Price,Fiberglass,0
213574,7936,3769,19,Nautic Star.193 SC,COMPLETE MARINE,"Pompano Beach, Florida",2017,Request Price,Fiberglass,19,Stingray 182 SC,"Sundance Marine USA
   ","Pompano Beach, FL",2017,,Fiberglass,0
223836,7967,3677,19,Sea Ray.19 SPX Outboard,MarineMax Houston,"Seabrook, Texas",2016,Request Price,Fiberglass,19,Sea Ray 19 SPX Outboard,"MarineMax Inc.
   ","Seabrook, TX",2016,Call for Price,Fiberglass,0
223838,7967,3679,19,Sea Ray.19 SPX Outboard,MarineMax Houston,"Seabrook, Texas",2016,Request Price,Fiberglass,19,Sea Ray 19 SPX Outboard,"MarineMax Inc.
   ","Seabrook, TX",2016,Call for Price,Fiberglass,0
224831,7970,3670,19,Sea Ray.19 SPX,MarineMax Orlando,"Orlando, Florida",2016,Request Price,Fiberglass,19,Sea Ray 19 SPX,"MarineMax Inc.
   ","Orlando, FL",2016,Call for Price,Fiberglass,0
225151,7971,3656,19,Sea Ray.19 SPX Outboard,MarineMax Houston,"Seabrook, Texas",2016,Request Price,Fiberglass,19,Sea Ray 19 SPX,"MarineMax Inc.
   ","Seabrook, TX",2016,Call for Price,Fiberglass,0
225171,7971,3676,19,Sea Ray.19 SPX Outboard,MarineMax Houston,"Seabrook, Texas",2016,Request Price,Fiberglass,19,Sea Ray 19 SPX Outboard,"MarineMax Inc.
   ","Seabrook, TX",2016,Call for Price,Fiberglass,0
225840,7973,3677,19,Sea Ray.19 SPX Outboard,MarineMax Houston,"Seabrook, Texas",2016,Request Price,Fiberglass,19,Sea Ray 19 SPX Outboard,"MarineMax Inc.
   ","Seabrook, TX",2016,Call for Price,Fiberglass,0
226507,7975,3676,19,Sea Ray.19 SPX,MarineMax Houston,"Seabrook, Texas",2016,Request Price,Fiberglass,19,Sea Ray 19 SPX Outboard,"MarineMax Inc.
   ","Seabrook, TX",2016,Call for Price,Fiberglass,0
226510,7975,3679,19,Sea Ray.19 SPX,MarineMax Houston,"Seabrook, Texas",2016,Request Price,Fiberglass,19,Sea Ray 19 SPX Outboard,"MarineMax Inc.
   ","Seabrook, TX",2016,Call for Price,Fiberglass,0
233529,7996,3684,19,Sea Ray.19 SPX Outboard,MarineMax Wrightsville Beach,"Wrightsville Beach, North Carolina",2015,30995,Fiberglass,19,Sea Ray 19 SPX Outboard,"MarineMax Inc.
   ","Wrightsville Beach, NC",2015,30995,Fiberglass,0
236560,8005,3709,19,Sea Ray.SPX 190 ,MarineMax Rogers,"Rogers, Minnesota",2017,Request Price,Fiberglass,19,Sea Ray SPX 190,"MarineMax Inc.
   ","Rogers, MN",2017,Call for Price,Fiberglass,0
236896,8006,3711,19,Sea Ray.SPX 190 ,MarineMax Osage Beach,"Osage Beach, Missouri",2017,Request Price,Fiberglass,19,Sea Ray SPX 190,"MarineMax Inc.
   ","Osage Beach, MO",2017,Call for Price,Fiberglass,0
236914,8006,3729,19,Sea Ray.SPX 190 ,MarineMax Osage Beach,"Osage Beach, Missouri",2017,Request Price,Fiberglass,19,Sea Ray SPX 190 OB,"MarineMax Inc.
   ","Panama City Beach, FL",2017,Call for Price,Fiberglass,0
238565,8011,3710,19,Sea Ray.SPX 190 ,MarineMax Dallas,"Lewisville, Texas",2017,Request Price,Fiberglass,19,Sea Ray SPX 190,"MarineMax Inc.
   ","Lewisville, TX",2017,Call for Price,Fiberglass,0
238890,8012,3701,19,Sea Ray.SPX 190 ,MarineMax Dallas,"Lewisville, Texas",2017,Request Price,Fiberglass,19,Sea Ray SPX 190,"MarineMax Inc.
   ","Lewisville, TX",2017,Call for Price,Fiberglass,0
240599,8017,3740,19,Sea Ray.SPX 190 OB,MarineMax Pensacola,"Pensacola, Florida",2017,Request Price,Fiberglass,19,Sea Ray SPX 190 OB,"MarineMax Inc.
   ","Pensacola, FL",2017,Call for Price,Fiberglass,0
240904,8018,3711,19,Sea Ray.SPX 190 ,MarineMax Panama City,"Panama City Beach, Florida",2017,Request Price,Fiberglass,19,Sea Ray SPX 190,"MarineMax Inc.
   ","Osage Beach, MO",2017,Call for Price,Fiberglass,0
240906,8018,3713,19,Sea Ray.SPX 190 ,MarineMax Panama City,"Panama City Beach, Florida",2017,Request Price,Fiberglass,19,Sea Ray SPX 190,"MarineMax Inc.
   ","Panama City Beach, FL",2017,Call for Price,Fiberglass,0
243244,8025,3713,19,Sea Ray.SPX 190 OB,MarineMax Wrightsville Beach,"Wrightsville Beach, North Carolina",2017,Request Price,Fiberglass,19,Sea Ray SPX 190,"MarineMax Inc.
   ","Panama City Beach, FL",2017,Call for Price,Fiberglass,0
243250,8025,3719,19,Sea Ray.SPX 190 OB,MarineMax Wrightsville Beach,"Wrightsville Beach, North Carolina",2017,Request Price,Fiberglass,19,Sea Ray SPX 190,"MarineMax Inc.
   ","Pompano Beach, FL",2017,Call for Price,Fiberglass,0
243264,8025,3733,19,Sea Ray.SPX 190 OB,MarineMax Wrightsville Beach,"Wrightsville Beach, North Carolina",2017,Request Price,Fiberglass,19,Sea Ray SPX 190 OB,"MarineMax Inc.
   ","Pompano Beach, FL",2017,Call for Price,Fiberglass,0
243906,8027,3707,19,Sea Ray.SPX 190 ,MarineMax Long Island,"Lindenhurst, New York",2017,Request Price,Fiberglass,19,Sea Ray SPX 190,"MarineMax Inc.
   ","Lindenhurst, NY",2017,Call for Price,Fiberglass,0
244587,8029,3720,19,Sea Ray.SPX 190 OB,MarineMax Long Island,"Lindenhurst, New York",2017,Request Price,Fiberglass,19,Sea Ray SPX 190,"MarineMax Inc.
   ","Lindenhurst, NY",2017,Call for Price,Fiberglass,0
247258,8037,3719,19,Sea Ray.SPX 190 OB,MarineMax Pompano,"Pompano Beach, Florida",2017,Request Price,Fiberglass,19,Sea Ray SPX 190,"MarineMax Inc.
   ","Pompano Beach, FL",2017,Call for Price,Fiberglass,0
249940,8045,3729,19,Sea Ray.SPX 190 ,MarineMax Pompano,"Pompano Beach, Florida",2017,Request Price,Fiberglass,19,Sea Ray SPX 190 OB,"MarineMax Inc.
   ","Panama City Beach, FL",2017,Call for Price,Fiberglass,0
261587,8080,3686,19,Sea Ray.190 Signature,Sheltered Cove Marina,Tuckerton,1999,11995,Fiberglass,19,Sea Ray 190 SIGNATURE,"Sheltered Cove Marina
   ","Tuckerton, United States",1999,11995,Fiberglass,0
267223,8097,3644,19,Regal.1900 ESX Bowrider,Sundance Marine USA,"Pompano Beach, Florida",2017,Request Price,Fiberglass,19,Regal 1900 ESX Bowrider,"Sundance Marine USA
   ","Pompano Beach, FL",2017,,Fiberglass,0
283607,8146,3662,19,Scarab.195 HO,MarineMax Wrightsville Beach,"Wrightsville Beach, North Carolina",2015,37933,Fiberglass,19,Scarab 195 HO,"MarineMax Inc.
   ","Wrightsville Beach, NC",2015,37933,Fiberglass,0
288382,8160,3761,19,Stingray.182 SC,Sundance Jensen,Stuart/Jensen Beach,2016,Request Price,Fiberglass,19,Stingray 182 SC,"Sundance Marine USA
   ","Stuart/Jensen Beach, United States",2016,,Fiberglass,0
369594,8403,3811,19,Bayliner.Flight Series,Captain Robert Heay,"Port Orchard, Washington",2013,27950,Fiberglass,19,Bayliner Flight Series,"Robert Heay's Port Orchard Yacht Sales, Inc
   ","Port Orchard, WA",2013,27950,Fiberglass,0
378626,8430,3828,19,Sea Ray.185 Sport,E Yachting,"Gloucester, Virginia",2005,12900,Fiberglass,19,Sea Ray 185 Sport,"E Yachting
   ","Gloucester, VA",2005,12900,Fiberglass,0
392078,5224,2766,21,Cobalt.220 WSS,"Ugly John's Custom Boats, LLC.","Catoosa, Oklahoma",2013,52500,Fiberglass,21,Cobalt 220 WSS,"Ugly John's Custom Boats, LLC.
   ","Catoosa, OK",2013,52500,Fiberglass,0
392494,5225,2768,21,Four Winns.H210,Gulf Coast Boat Sales,"Aventura, Florida",2013,32000,Fiberglass,21,Four Winns H210,"Gulf Coast Boat Sales & Yacht Management
   ","Aventura, FL",2013,32000,Fiberglass,0
403270,5251,2780,21,Maxum.2100 SR,Lucky Dog Yacht Sales,"Sarasota , Florida",2002,14995,Fiberglass,21,Maxum 2100 SR,"Lucky Dog Yacht Sales
   ","Sarasota , FL",2002,14995,Fiberglass,0
438882,5337,2788,21,Maxum.2100 SD,Aquarius Boat Sales,"Bayville, New Jersey",2003,13900,Fiberglass,21,Maxum 2100 SD,"Aquarius Boat Sales
   ","Bayville, NJ",2003,13900,Fiberglass,0
439711,5339,2789,21,Larson.LSR 2100 IO,Dredge Harbor Boat Center LLC.,"Delran, New Jersey",2016,60408,Fiberglass,21,Larson LSR 2100 IO,"Dredge Harbor Boat Center LLC.
   ","Delran, NJ",2016,60408,Fiberglass,0
442203,5345,2797,21,Bayliner.215 Br,BoatMax,United States,2011,20595,Fiberglass,21,Bayliner 215 BR,"BoatMax
   ",United States,2011,20595,Fiberglass,0
473264,5420,2808,21,Bryant.210 Walkabout,Cast Off Yacht Sales,"Forked River, New Jersey",2014,34997,Fiberglass,21,Bryant 210 Walkabout,"Cast Off Yacht Sales
   ","Forked River, NJ",2014,34997,Fiberglass,0
486924,5453,2806,21,Caravelle Boats.217 Bow Rider,Catgut Marina,"La Crosse, Wisconsin",2008,24995,Fiberglass,21,Caravelle 217 BR,"Catgut Marina
   ","La Crosse, WI",2008,24995,Fiberglass,0
495638,5474,2826,21,Chaparral.21 H2O Sport,"Twin City Marine, Inc.","Central Falls, Rhode Island",2017,41480,Fiberglass,21,Chaparral 21 H2O Sport,"Twin City Marine, Inc.
   ","Central Falls, RI",2017,41065,Fiberglass,0
496895,5477,2841,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39973,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,Call for Price,Fiberglass,0
498552,5481,2842,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,32280,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39973,Fiberglass,0
498554,5481,2844,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,32280,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39418,Fiberglass,0
499381,5483,2843,21,Chaparral.21 H20 SKI & FISH,Sunrise Marine,"Mary Esther, Florida",2017,Request Price,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39518,Fiberglass,0
505983,5499,2821,21,Chaparral.21 H2O Sport,Tilly's Marine - Ventura,"Ventura, California",2017,42938,Fiberglass,21,Chaparral 21 H2O Sport,"Tilly's Marine
   ","Ventura, CA",2017,42938,Fiberglass,0
513434,5517,2820,21,Chaparral.21 H2O Sport,Pier 33,"St. Joseph, Michigan",2016,44000,Fiberglass,21,Chaparral 21 H2O Sport,"Pier 33
   ","St. Joseph, MI",2016,44000,Fiberglass,0
516346,5524,2834,21,Chaparral.210 Suncoast,Anchor Marine,"Farmingdale, New Jersey",2016,47188,Fiberglass,21,Chaparral 210 Suncoast,"Anchor Marine
   ","Farmingdale, NJ",2016,47188,Fiberglass,0
522154,5538,2846,21,Chris-Craft.Carina 21,Grande Yachts International - Deerfield,"Deerfield Beach, Florida",2017,Request Price,Fiberglass,21,Chris-Craft Carina 21,"Grande Yachts International
   ","Deerfield Beach, FL",2017,Call for Price,Fiberglass,0
522985,5540,2849,21,Chris-Craft.Capri 21,Walstrom Marine  - Harbor Springs,"Harbor Springs, Michigan",2016,Request Price,Fiberglass,21,Chris-Craft Capri 21,"Walstrom Marine- Harbor Springs
   ","Harbor Springs, MI",2016,Call for Price,Fiberglass,0
532510,5563,2852,21,Chris Craft1.210 Bowrider,Ocean Beach Marine Centers (Lanoka Harbor),"Lanoka Harbor, New Jersey",1999,12500,Fiberglass,21,Chris Craft1 210 Bowrider,"Ocean Beach Marine Centers
   ","Lanoka Harbor, NJ",1999,12500,Fiberglass,0
532927,5564,2855,21,Chris-Craft.210 Bowrider SS,FB Marine Group (Formerly FastBoats Marine Group),"Aventura, Florida",2001,11995,Composite,21,Chris-Craft 210 Bowrider SS,"FB Marine Group
   ","Aventura, FL",2001,11995,Composite,0
535412,5570,2856,21,Crownlime.21 SS,MarineMax Dallas,"Lewisville, Texas",2009,24995,Fiberglass,21,Crownlime 21 SS,"MarineMax Inc.
   ","Lewisville, TX",2009,24995,Fiberglass,0
536242,5572,2858,21,Chris-Craft.210 Bow Rider,Ocean Beach Marine Centers (Lavallette),"Lavallette, New Jersey",2000,14760,Fiberglass,21,Chris Craft 210 Bow Rider,"Ocean Beach Marine Centers
   ","Lavallette, NJ",2000,14760,Fiberglass,0
552907,5612,2963,21,Sea-Doo.210 Challenger,COMPLETE MARINE,"Pompano Beach, Florida",2010,16900,Fiberglass,21,Sea Doo Challenger 210,"COMPLETE MARINE
   ","Pompano Beach, FL",2010,16900,Fiberglass,0
566488,5645,2882,21,Four Winns.H210,Chris Craft Tampa Bay-Suncoast Yacht Sales -,"St Petersburg, Florida",2015,48500,Fiberglass,21,Four Winns H210,"Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB
   ","St Petersburg, FL",2015,48500,Fiberglass,0
581820,5682,2896,21,Key West.211 Dual Console,National Powerboats,"Jacksonville, Florida",2016,44000,Fiberglass,21,Key West 211 Dual Console,"National Powerboats
   ","Jacksonville, FL",2016,44000,Fiberglass,0
583067,5685,2901,21,Hurricane.SD 2100 OB,"Lowes Marine Sales, Inc.","Marco Island, Florida",2010,25995,Fiberglass,21,Hurricane SD 2100 OB,"Lowe's Boat & Yacht Brokerage
   ","Marco Island, FL",2010,25995,Fiberglass,0
609578,5749,2916,21,Milan Sportboats.210 Bowrider,Executive Boat & Yacht Brokerage,"Salt Lake City, Utah",1999,12900,Fiberglass,21,Milan 210 Bowrider,"Executive Boat & Yacht Brokerage
   ","Salt Lake City, UT",1999,12900,Fiberglass,0
614978,5762,2934,21,Monterey.217 Blackfin,Tern Harbor Marina,"Hingham, Massachusetts",2017,Request Price,Fiberglass,21,Monterey 217 Blackfin,"Tern Harbor Marina LLC
   ","Hingham, MA",2017,Call for Price,Fiberglass,0
632370,5804,2938,21,Nautic Star.210SC Sport Deck,National Powerboats,"Jacksonville, Florida",2009,13900,Fiberglass,21,NauticStar 210SC Sport Deck,"National Powerboats
   ","Jacksonville, FL",2009,13900,Fiberglass,0
653129,5854,2997,21,Sea Ray.205 Sport,The Nautic Group,"Kemah, Texas",2012,29900,Fiberglass,21,Sea Ray 205 Sport,"The Nautic Group
   ","Kemah, TX",2012,29900,Fiberglass,0
667637,5889,3015,21,Sea Ray.21 SPX OB,Boat America,"St. Petersburg, Florida",2015,39995,Fiberglass,21,Sea Ray 21 SPX OB,"Boat America
   ","St. Petersburg, FL",2015,39995,Fiberglass,0
670940,5897,3006,21,Sea Ray.21 SPX,MarineMax Houston,"Seabrook, Texas",2016,Request Price,Fiberglass,21,Sea Ray 21 SPX,"MarineMax Inc.
   ","Seabrook, TX",2016,Call for Price,Fiberglass,0
672591,5901,3001,21,Sea Ray.21 SPX,MarineMax Lake Conroe,"Montgomery, Texas",2016,Request Price,Fiberglass,21,Sea Ray 21 SPX,"MarineMax Inc.
   ","Montgomery, TX",2016,Call for Price,Fiberglass,0
675131,5907,3057,21,Sea Ray.SPX 210 ,MarineMax Dallas,"Lewisville, Texas",2017,Request Price,Fiberglass,21,Sea Ray SPX 210,"MarineMax Inc.
   ","Lewisville, TX",2017,Call for Price,Fiberglass,0
675542,5908,3054,21,Sea Ray.SPX 210 ,MarineMax Norwalk,"Norwalk, Connecticut",2017,Request Price,Fiberglass,21,Sea Ray SPX 210,"MarineMax Inc.
   ","Norwalk, CT",2017,Call for Price,Fiberglass,0
676374,5910,3058,21,Sea Ray.SPX 210 OB,MarineMax Brick,"Brick, New Jersey",2017,Request Price,Fiberglass,21,Sea Ray SPX 210,"MarineMax Inc.
   ","Brick, NJ",2017,Call for Price,Fiberglass,0
677196,5912,3052,21,Sea Ray.SPX 210 OB,MarineMax Dallas,"Lewisville, Texas",2017,Request Price,Fiberglass,21,Sea Ray SPX 210,"MarineMax Inc.
   ","Lewisville, TX",2017,Call for Price,Fiberglass,0
678035,5914,3063,21,Sea Ray.SPX 210 ,MarineMax Lake Ozark,"Lake Ozark, Missouri",2017,Request Price,Fiberglass,21,Sea Ray SPX 210,"MarineMax Inc.
   ","Lake Ozark, MO",2017,Call for Price,Fiberglass,0
679696,5918,3068,21,Sea Ray.SPX 210 ,MarineMax Long Island,"Lindenhurst, New York",2017,Request Price,Fiberglass,21,Sea Ray SPX 210,"MarineMax Inc.
   ","Lindenhurst, NY",2017,Call for Price,Fiberglass,0
680523,5920,3067,21,Sea Ray.SPX 210 ,MarineMax Houston,"Seabrook, Texas",2017,Request Price,Fiberglass,21,Sea Ray SPX 210,"MarineMax Inc.
   ","Seabrook, TX",2017,Call for Price,Fiberglass,0
681361,5922,3077,21,Sea Ray.SPX 210 OB,MarineMax Pompano,"Pompano Beach, Florida",2017,Request Price,Fiberglass,21,Sea Ray SPX 210 OB,"MarineMax Inc.
   ","Pompano Beach, FL",2017,Call for Price,Fiberglass,0
687128,5936,3048,21,Sea Ray.210 SLX,Irish Boat Shop - Harbor Springs,"Harbor Springs, Michigan",2013,37500,Fiberglass,21,Sea Ray 210 SLX,"Irish Boat Shop
   ","Harbor Springs, MI",2013,37500,Fiberglass,0
699530,5966,3030,21,Sea Ray.210 Signature,Boat Brokers LKN,"Cornelius, North Carolina",2002,13900,Fiberglass,21,Sea Ray 210 Signature,"Boat Brokers LKN
   ","Cornelius, NC",2002,13900,Fiberglass,0
700765,5969,3023,21,Sea Ray.210 Signature,Five Star Marine Boats and Yachts,"Austin, Texas",1999,13990,Fiberglass,21,Sea Ray 210 Bow Rider,"Platinum Marine
   ","AUSTIN, TX",1999,9999,Fiberglass,0
701179,5970,3023,21,Sea Ray.210 Bow Rider,Platinum Marine,"AUSTIN, Texas",1999,9999,Fiberglass,21,Sea Ray 210 Bow Rider,"Platinum Marine
   ","AUSTIN, TX",1999,9999,Fiberglass,0
704076,5977,3022,21,Sea Ray.210 Bow Rider,A & S Boats,"South Windsor, Connecticut",1996,9995,Fiberglass,21,Sea Ray 210 Bow Rider,"A & S Boats
   ","South Windsor, CT",1996,9995,Fiberglass,0
720155,6016,2955,21,Regal.2100 Bowrider,AM PM MARINE,"Pasadena, Maryland",2016,Request Price,Fiberglass,21,Regal 2100 Bowrider,"AM PM MARINE
   ","Pasadena, MD",2016,Call for Price,Fiberglass,0
730072,6040,2936,21,Regal.2100 Regal,Grand Bay Marine,"Traverse City, Michigan",2011,34900,Fiberglass,21,Regal 2100,"Grand Bay Marine
   ","Traverse City, MI",2011,34900,Fiberglass,0
762093,6117,3079,21,Stingray.214 LR,Sundance Jensen,"Jensen Beach, Florida",2017,Request Price,Fiberglass,21,Stingray 214 LR,"Sundance Marine USA
   ","Jensen Beach, FL",2017,Call for Price,Fiberglass,0
775360,6149,3098,21,Wellcraft.210 Sportsman,Seaport Yacht Sales,"Toms River, New Jersey",1998,10900,Fiberglass,21,Wellcraft 210 Sportsman,"Seaport Yacht Sales
   ","Toms River, NJ",1998,10900,Fiberglass,0
807261,6226,3121,21,Scout.210 Dorado,"SEVEN SEAS YACHT SALES, INC.","Ft. Laudedale, Florida",2016,40995,Composite,21,Scout 210 Dorado,"SEVEN SEAS YACHT SALES, INC.
   ","Ft. Laudedale, FL",2016,40995,Composite,0
811408,6236,3128,21,Four Winns.H210SS,Boulder Boats,"Henderson, Nevada",2008,29995,Fiberglass,21,Four Winns H210SS,"Boulder Boats
   ","Henderson, NV",2008,29995,Fiberglass,0
